time,day,is home
0,1,1
0.25,1,1
0.5,1,1
0.75,1,1
1,1,1
1.25,1,1
1.5,1,1
1.75,1,1
2,1,1
2.25,1,1
2.5,1,1
2.75,1,1
3,1,1
3.25,1,1
3.5,1,1
3.75,1,1
4,1,1
4.25,1,1
4.5,1,1
4.75,1,1
5,1,1
5.25,1,1
5.5,1,1
5.75,1,1
6,1,1
6.25,1,1
6.5,1,1
6.75,1,1
7,1,1
7.25,1,0
7.5,1,0
7.75,1,0
8,1,0
8.25,1,0
8.5,1,0
8.75,1,0
9,1,0
9.25,1,0
9.5,1,1
9.75,1,1
10,1,1
10.25,1,1
10.5,1,0
10.75,1,0
11,1,0
11.25,1,0
11.5,1,0
11.75,1,0
12,1,0
12.25,1,0
12.5,1,0
12.75,1,0
13,1,0
13.25,1,0
13.5,1,0
13.75,1,0
14,1,1
14.25,1,1
14.5,1,1
14.75,1,1
15,1,1
15.25,1,0
15.5,1,0
15.75,1,0
16,1,0
16.25,1,0
16.5,1,0
16.75,1,0
17,1,0
17.25,1,0
17.5,1,1
17.75,1,1
18,1,1
18.25,1,1
18.5,1,1
18.75,1,1
19,1,1
19.25,1,1
19.5,1,1
19.75,1,1
20,1,1
20.25,1,1
20.5,1,1
20.75,1,1
21,1,1
21.25,1,1
21.5,1,1
21.75,1,1
22,1,1
22.25,1,1
22.5,1,1
22.75,1,1
23,1,1
23.25,1,1
23.5,1,1
23.75,1,1
24,1,1
0,2,1
0.25,2,1
0.5,2,1
0.75,2,1
1,2,1
1.25,2,1
1.5,2,1
1.75,2,1
2,2,1
2.25,2,1
2.5,2,1
2.75,2,1
3,2,1
3.25,2,1
3.5,2,1
3.75,2,1
4,2,1
4.25,2,1
4.5,2,1
4.75,2,1
5,2,1
5.25,2,1
5.5,2,1
5.75,2,1
6,2,1
6.25,2,1
6.5,2,1
6.75,2,1
7,2,1
7.25,2,1
7.5,2,0
7.75,2,0
8,2,0
8.25,2,0
8.5,2,0
8.75,2,0
9,2,0
9.25,2,0
9.5,2,0
9.75,2,0
10,2,0
10.25,2,0
10.5,2,0
10.75,2,0
11,2,0
11.25,2,0
11.5,2,0
11.75,2,0
12,2,0
12.25,2,0
12.5,2,0
12.75,2,0
13,2,0
13.25,2,0
13.5,2,0
13.75,2,0
14,2,0
14.25,2,1
14.5,2,1
14.75,2,1
15,2,1
15.25,2,1
15.5,2,0
15.75,2,0
16,2,0
16.25,2,0
16.5,2,0
16.75,2,0
17,2,0
17.25,2,0
17.5,2,0
17.75,2,1
18,2,1
18.25,2,1
18.5,2,1
18.75,2,1
19,2,1
19.25,2,1
19.5,2,1
19.75,2,1
20,2,1
20.25,2,1
20.5,2,1
20.75,2,1
21,2,1
21.25,2,1
21.5,2,1
21.75,2,1
22,2,1
22.25,2,1
22.5,2,1
22.75,2,1
23,2,1
23.25,2,1
23.5,2,1
23.75,2,1
24,2,1
0,3,1
0.25,3,1
0.5,3,1
0.75,3,1
1,3,1
1.25,3,1
1.5,3,1
1.75,3,1
2,3,1
2.25,3,1
2.5,3,1
2.75,3,1
3,3,1
3.25,3,1
3.5,3,1
3.75,3,1
4,3,1
4.25,3,1
4.5,3,1
4.75,3,1
5,3,1
5.25,3,1
5.5,3,1
5.75,3,1
6,3,1
6.25,3,1
6.5,3,1
6.75,3,1
7,3,1
7.25,3,0
7.5,3,0
7.75,3,0
8,3,0
8.25,3,0
8.5,3,0
8.75,3,0
9,3,0
9.25,3,0
9.5,3,1
9.75,3,1
10,3,1
10.25,3,1
10.5,3,0
10.75,3,0
11,3,0
11.25,3,0
11.5,3,0
11.75,3,0
12,3,0
12.25,3,0
12.5,3,0
12.75,3,0
13,3,0
13.25,3,0
13.5,3,0
13.75,3,0
14,3,1
14.25,3,1
14.5,3,1
14.75,3,1
15,3,1
15.25,3,0
15.5,3,0
15.75,3,0
16,3,0
16.25,3,0
16.5,3,0
16.75,3,0
17,3,0
17.25,3,0
17.5,3,1
17.75,3,1
18,3,1
18.25,3,1
18.5,3,1
18.75,3,1
19,3,1
19.25,3,1
19.5,3,1
19.75,3,1
20,3,1
20.25,3,1
20.5,3,1
20.75,3,1
21,3,1
21.25,3,1
21.5,3,1
21.75,3,1
22,3,1
22.25,3,1
22.5,3,1
22.75,3,1
23,3,1
23.25,3,1
23.5,3,1
23.75,3,1
24,3,1
0,4,1
0.25,4,1
0.5,4,1
0.75,4,1
1,4,1
1.25,4,1
1.5,4,1
1.75,4,1
2,4,1
2.25,4,1
2.5,4,1
2.75,4,1
3,4,1
3.25,4,1
3.5,4,1
3.75,4,1
4,4,1
4.25,4,1
4.5,4,1
4.75,4,1
5,4,1
5.25,4,1
5.5,4,1
5.75,4,1
6,4,1
6.25,4,1
6.5,4,1
6.75,4,1
7,4,1
7.25,4,1
7.5,4,0
7.75,4,0
8,4,0
8.25,4,0
8.5,4,0
8.75,4,0
9,4,0
9.25,4,0
9.5,4,0
9.75,4,0
10,4,0
10.25,4,0
10.5,4,0
10.75,4,0
11,4,0
11.25,4,0
11.5,4,0
11.75,4,0
12,4,0
12.25,4,0
12.5,4,0
12.75,4,0
13,4,0
13.25,4,0
13.5,4,0
13.75,4,0
14,4,0
14.25,4,1
14.5,4,1
14.75,4,1
15,4,1
15.25,4,1
15.5,4,0
15.75,4,0
16,4,0
16.25,4,0
16.5,4,0
16.75,4,0
17,4,0
17.25,4,0
17.5,4,0
17.75,4,1
18,4,1
18.25,4,1
18.5,4,1
18.75,4,1
19,4,1
19.25,4,1
19.5,4,1
19.75,4,1
20,4,1
20.25,4,1
20.5,4,1
20.75,4,1
21,4,1
21.25,4,1
21.5,4,1
21.75,4,1
22,4,1
22.25,4,1
22.5,4,1
22.75,4,1
23,4,1
23.25,4,1
23.5,4,1
23.75,4,1
24,4,1
0,5,1
0.25,5,1
0.5,5,1
0.75,5,1
1,5,1
1.25,5,1
1.5,5,1
1.75,5,1
2,5,1
2.25,5,1
2.5,5,1
2.75,5,1
3,5,1
3.25,5,1
3.5,5,1
3.75,5,1
4,5,1
4.25,5,1
4.5,5,1
4.75,5,1
5,5,1
5.25,5,1
5.5,5,1
5.75,5,1
6,5,1
6.25,5,1
6.5,5,1
6.75,5,1
7,5,1
7.25,5,1
7.5,5,0
7.75,5,0
8,5,0
8.25,5,0
8.5,5,0
8.75,5,0
9,5,0
9.25,5,0
9.5,5,1
9.75,5,1
10,5,1
10.25,5,1
10.5,5,1
10.75,5,1
11,5,1
11.25,5,1
11.5,5,1
11.75,5,1
12,5,1
12.25,5,1
12.5,5,1
12.75,5,1
13,5,1
13.25,5,1
13.5,5,1
13.75,5,1
14,5,1
14.25,5,1
14.5,5,1
14.75,5,1
15,5,1
15.25,5,1
15.5,5,1
15.75,5,1
16,5,1
16.25,5,1
16.5,5,1
16.75,5,1
17,5,1
17.25,5,1
17.5,5,1
17.75,5,1
18,5,1
18.25,5,1
18.5,5,1
18.75,5,1
19,5,1
19.25,5,1
19.5,5,1
19.75,5,1
20,5,1
20.25,5,1
20.5,5,1
20.75,5,1
21,5,1
21.25,5,1
21.5,5,1
21.75,5,1
22,5,1
22.25,5,1
22.5,5,1
22.75,5,1
23,5,1
23.25,5,1
23.5,5,1
23.75,5,1
24,5,1
